ISO3,pa_marine_area,pa_land_area,marine_area,land_area,percentage_pa_land_cover,percentage_pa_marine_cover,pame_pa_marine_area,pame_pa_land_area,pame_percentage_pa_marine_cover,pame_percentage_pa_land_cover,percentage_nr_land_cover,percentage_nr_marine_cover,nr_version,nr_report_url
ROU,6865.607466,58224.53787,29726.44952,237452.8706,24.52046,23.09595,693.909197,11756.17288,10.10703278,20.19109693,33,na,5,https://www.cbd.int/doc/world/ro/ro-nr-05-en.pdf
RUS,228247.3381,1641400.741,7673314.113,16874835.52,9.726914,2.97456,181483.1944,614316.0267,79.51163677,37.4263281,11.8,na,5,https://www.cbd.int/doc/world/ru/ru-nr-05-ru.pdf
RWA,0,2319.729895,0,25452.13068,9.114089,0,0,2216.080247,0,95.53182255,10.3,0,5,https://www.cbd.int/doc/world/rw/rw-nr-05-en.pdf
SAU,5495.452494,92063.63578,220338.2086,1934058.339,4.760127,2.494099,0,17931.57748,0,19.47737272,na,na,0,https://www.cbd.int/doc/world/sa/sa-nr-05-ar.pdf
SDN,10661.95346,42697.53551,66785.64454,1871251.813,2.281763,15.96444,0,15953.71057,0,37.36447638,5.8,10,6,https://chm.cbd.int/database/record/2748B1C1-31BC-F7AF-54E0-FC64E251AA3D
SEN,1766.175004,50179.21798,158426.4028,197923.9723,25.35277,1.114824,1634.797457,11320.72925,92.56146493,22.56059322,na,2.44,6,https://chm.cbd.int/database/record/58DAD993-C79B-6275-8330-99B6F44BA483
SGP,0.100552,33.585431,762.68502,604.646128,5.55456,0.013184,0,32.273776,0,96.09457148,4.7,na,5,https://www.cbd.int/doc/world/sg/sg-nr-05-en.pdf
SGS,1233452.845,505.43043,1445886.657,3971.692688,12.72582,85.30772,0,0,0,0,na,na,0,0
SHN,902497.1024,163.55775,1647745.112,434.343214,37.65634,54.77164,0,0,0,0,na,na,0,0
SJM,82714.06037,40092.18366,1081582.098,61261.11552,65.44475,7.647506,0,0,0,0,na,na,0,0
SLB,1879.382668,514.977904,1609756.547,29191.64527,1.764128,0.11675,519.261187,308.937747,27.6293485,59.99048592,5,6,5,https://www.cbd.int/doc/world/sb/sb-nr-05-en.pdf
SLE,862.533185,6824.701851,160452.5672,72709.02892,9.386319,0.537563,122.954659,2637.099469,14.25506417,38.64050806,4,na,5,https://www.cbd.int/doc/world/sl/sl-nr-05-en.pdf
SLV,664.798852,1805.57217,94238.04744,20573.30437,8.776287,0.705446,206.773048,84.110066,31.10309944,4.65836079,na,na,0,0
SOM,0,0,784501.553,637991.5854,0,0,0,0,0,0,0.8,0,5,https://www.cbd.int/doc/world/so/so-nr-05-en.pdf
SPM,7.021862,7.163116,12367.3281,237.589267,3.014915,0.056778,0,0,0,0,na,na,0,0
