ISO3,marine_area,PA_MARINE,percentage_pa_marine_cover,PAME_pa_marine_area,PAME_percentage_pa_land_cover,land_area,PA_LAND_AREA,percentage_pa_land_cover,categorical_pa_land_cover,PAME_pa_land_area,PAME_percentage_pa_land_cover
SPM,12367,7.021851,0.056778935877739,,,237.589267,7.163116,3.01491565273443,1,,
PNG,2407382,4585.652192,0.190482947533877,4224.550043,92.1253916808177,467405.9203,14330.329534,3.06592811764177,1,13748.066894,95.9368510080768
TKM,77885,2331.687639,2.99375699942223,1956.802705,83.9221631693009,472137.5437,15336.265593,3.24826224849952,1,8680.141559,56.5987952305802
KAZ,119085,1249.451635,1.04920992148465,0,0,2719827.869,90083.030068,3.31208570567081,1,19251.398612,21.3707272029681
KNA,10263,17.436921,0.16990081847413,,,270.825058,8.982278,3.31663475541469,1,,
UZB,0,0,,0,,450362.5106,15200.697249,3.37521372033137,1,2345.749342,15.4318535760214
URY,130098,931.549959,0.71603710971729,666.038675,71.4979018103311,178459.889,6150.088209,3.44620196922794,1,1732.364584,28.1681258077708
UKR,134873,4606.12533,3.41515746665381,130.023291,2.82283441471186,598828.7966,23873.826016,3.98675316744111,1,7084.633646,29.675317400956
GGY,8673,33.480134,0.386027141704139,,,85.559741,3.42847,4.00710656662694,1,,
LBR,247768,256.049623,0.103342490959285,251.813348,98.3455257811491,96634.42399,3914.960979,4.05131092767225,1,2410.41059,61.5692111091154
GMB,22746,15.848757,0.069677116855711,15.848759,100.000012619286,10757.9084,441.86625,4.10736207792957,1,439.347996,99.4300868192581
MDA,0,0,,0,,33963.76161,1409.67766,4.15053454969766,1,977.221645,69.3223474223178
VUT,622073,47.50986,0.007637344813229,0.802327,1.68875892288464,12575.12729,528.222229,4.20053186594821,1,30.02523,5.6842041761177
SWZ,0,0,,,,17335.867,733.828673,4.23300820778101,1,,
BGD,84563,4529.996162,5.35694826579,738.143995,16.2945832314813,140160.1678,6455.725953,4.60596334488692,1,931.396884,14.4274538724367
MUS,1280068,49.643812,0.003878216782233,3.781151,7.61656054937925,2062.481937,97.460291,4.72538882652042,1,63.292144,64.941468315542
SAU,220338,5495.169902,2.49397285170965,0,0,1934058.339,92063.635784,4.76012713409676,1,17931.577479,19.4773727175745
ERI,78827,0,0,,,121834.4031,5936.248417,4.87239093881193,1,,
FJI,1293035,11958.568725,0.924844936525307,111.434696,0.931839742385224,19154.95614,1036.512388,5.4111968747113,2,11.103878,1.07127306229552
IMN,0,419.422454,,,,582.226592,31.751404,5.45344448987311,2,,
SGP,763,0.100552,0.013178505897772,0,0,604.646128,33.585431,5.55455983999951,2,32.273776,96.0945714824979
MDG,1205825,8997.603458,0.746178214749238,2692.391768,29.9234321735542,594718.7259,33242.138097,5.58955631449035,2,28442.548444,85.5617299976467
ESH,252024,3709.989602,1.47207789813669,,,268339.2162,15269.899449,5.69052099996407,2,,
IND,2301226,3928.322167,0.170705622437779,1415.361167,36.0296611843547,3061193.496,182646.7039,5.96651940292767,2,101826.736374,55.7506564310904
MMR,514147,11956.942545,2.32558831326449,45.372269,0.379463803804704,673078.5676,42878.488756,6.37050276446806,2,2470.118126,5.76073970343546
MNE,7459,10.436511,0.139918367073334,0,0,13847.56188,886.342421,6.40071103260526,2,360.163693,40.6348251495908
TKL,321243,9.510636,0.002960573771257,,,15.181307,0.998313,6.5759357873469,2,,
SRB,0,0,,0,,88509.11514,5853.202789,6.61310733899175,2,4074.584863,69.6129112536032
BHR,7633,94.820118,1.24223919821826,,,686.857403,45.481964,6.62174765844374,2,,
KGZ,0,0,,0,,199957.0236,13402.50539,6.70269298307359,2,1304.758795,9.73518575096801
AGO,493753,24.341243,0.004929842046529,19.751236,81.1430870642062,1255217.852,87506.592558,6.97142670641367,2,32400.494988,37.0263474337944
PRI,176163,3077.928377,1.74720479158507,,,9041.14294,657.215588,7.26916488724378,2,,
AIA,92654,32.219765,0.034774283894921,,,85.524417,6.274311,7.33628035137615,2,,
WSM,132306,114.847052,0.086804114703793,,,2893.945283,212.692968,7.34958498522517,2,,
DZA,128993,110.267116,0.085483023109781,0,0,2324458.588,174218.618345,7.49501923778734,2,144306.485756,82.8306911895227
VNM,647232,3630.25602,0.560889452313853,716.175414,19.7279588561911,329880.371,24994.312435,7.57678074607234,2,13486.512228,53.9583245711316
BDI,0,0,,0,,27210.87243,2065.705661,7.59147163073889,2,1422.092359,68.8429327492655
MNP,773668,257172.650327,33.2406988950041,2.717568,0.001056709567112,501.224059,38.441128,7.66944988169453,2,3.66404,9.53156213314032
TUN,100661,1042.360899,1.03551613733223,225.015183,21.5870705833143,155230.8391,12286.017724,7.91467584355794,2,440.642829,3.58653909589623
ZAF,1542560,185942.875716,12.0541746004045,2817.219469,1.5150994401651,1224384.577,97928.294787,7.99816468016487,2,62088.271779,63.4017695437726
MLI,0,0,,0,,1256684.114,103445.335883,8.23161005463303,2,96284.891495,93.0780403709079
GEO,22907,152.962881,0.667756061465927,152.961902,99.999359975444,69971.96837,5831.181959,8.33359714588232,2,4920.293085,84.379001025785
PSE,0,0,,,,6181.987004,516.767863,8.35925185002217,2,,
ARG,1083151,41249.957238,3.80832933155211,2419.27756,5.8649213768671,2785327.721,235364.555628,8.45015664955571,2,64067.96617,27.2207367838602
IRN,224801,1808.647777,0.804555040680424,1150.567317,63.6147807014389,1627857.17,140225.778062,8.61413277812328,2,13309.787411,9.49168376524547
GUY,136910,17.404505,0.012712369439778,17.404509,100.000022982555,211200.2683,18453.595704,8.7374868661566,2,14712.793384,79.7285993472311
SLV,94238,664.799506,0.705447384282349,206.773048,31.1030688401264,20573.30437,1805.57217,8.77628667484688,2,84.110066,4.6583607898653
VGB,80529,3.314328,0.004115694967031,,,175.605042,15.995538,9.10881476854178,2,,
RWA,0,0,,0,,25452.13068,2319.729895,9.11408920598863,2,2216.080213,95.5318210872995
BLR,0,0,,0,,207228.0654,19383.06031,9.35349189917207,2,4035.285069,20.8186168977565
SLE,160453,862.533186,0.537561270901759,122.954659,14.2550641523954,72709.02891,6824.701851,9.38631962675184,2,2637.099469,38.6405080628335
CAN,5698083,164284.60101,2.8831556333946,7843.338988,4.77423869296342,9955032.941,958103.692987,9.62431464230551,2,339369.777755,35.4209862918882
MKD,0,0,,0,,25443.14057,2456.297294,9.65406486373864,2,2327.918061,94.7734651943968
CHE,0,0,,0,,41355.27022,3997.063066,9.66518425520277,2,2610.795859,65.3178550323129
RUS,7673314,228242.859224,2.97450175014342,181483.215138,79.5132061327231,16874835.52,1641400.741419,9.72691401627955,2,614316.030728,37.4263283320392
GRD,26282,22.668259,0.086250129366106,0.224225,0.989158452795162,373.565244,36.525372,9.77750810244006,2,9.543075,26.1272492994733
COM,165505,37.464378,0.022636402525604,,,1701.123719,172.688456,10.1514342590858,3,,
AZE,79032,345.325767,0.436944233981172,29.971197,8.67910821146457,86639.62334,8798.350809,10.155112025906,3,3351.484434,38.0921891699488
CMR,14704,501.353701,3.40964160092492,0,0,469428.0915,49761.943259,10.6005465288606,3,34186.969637,68.7010341599088
CYM,119605,92.901177,0.077673322185527,,,289.266866,31.133127,10.7627698362107,3,,
MSR,7628,0,0,,,100.664381,11.182345,11.108541957855,3,,
NLD,64205,17127.44989,26.6761932715521,,,35205.61182,3958.425434,11.2437342496382,3,,
KOR,324994,5309.241314,1.63364287156071,2974.726551,56.0292210330676,99712.88376,11637.615302,11.6711249972578,3,5908.943245,50.7745194497408
MHL,2004587,5388.396223,0.268803310756779,,,281.928035,33.593723,11.915708560165,3,,
LIE,0,0,,0,,167.064349,19.939304,11.9351041196707,3,17.90587,89.8018807476931
MYT,63362,68824.676622,108.621376569553,,,396.377408,48.213398,12.1635080675435,3,,
IDN,5947954,181849.207926,3.05734052290922,4776.10678,2.62641054886725,1906555.047,231945.687621,12.1656958180133,3,135466.513859,58.4044115018653
PAK,222744,1707.39732,0.766528983945695,0,0,798143.6542,98288.080937,12.3145852779493,3,236.931869,0.24105859707635
KEN,112400,903.902202,0.804183453736655,82.853874,9.16624318611849,586770.0015,72544.601009,12.3633793178842,3,30070.467612,41.4510069581462
MAF,1069,1030.538141,96.4020711880262,,,59.578286,7.609071,12.7715506955,3,,
USA,8591493,3624501.256943,42.1870943378875,1537642.021973,42.4235477647451,9490391.294,1233174.539235,12.9939272368531,3,154799.974885,12.5529655340622
TLS,42501,584.111268,1.37434711653843,,,15006.53549,1959.473342,13.0574664838913,3,,
EGY,236612,11715.867826,4.95151041620882,11046.304756,94.2849895548147,984997.4881,129389.815561,13.1360553833071,3,76110.326842,58.8225019967806
QAT,31988,538.142577,1.68232642553458,,,11435.55274,1512.836195,13.2292354326547,3,,
VIR,36030,306.278744,0.850065900638357,20.501216,6.69364636025803,375.62477,51.815838,13.7945743034997,3,39.564814,76.3566035543032
COD,13265,31.363813,0.236440354315869,31.363659,99.9995089882725,2344275.114,324289.678869,13.8332603085851,3,158805.581182,48.9702853744387
NGA,182868,30.555978,0.016709308353567,0,0,914306.1122,127359.034317,13.9295836063645,3,14587.961597,11.4542024248474
PRY,0,0,,0,,401498.4235,57473.375244,14.3147200287824,3,9793.229867,17.0395941171427
IRL,426442,9945.328458,2.33216438765412,84.712829,0.851785130654556,70128.37704,10127.42256,14.4412618507106,3,115.19557,1.13746186966647
MEX,3284660,707850.603104,21.5501940262919,27060.135368,3.82285968950771,1965284.828,284178.222984,14.4599001088915,3,50443.756955,17.7507468465802
SUR,128363,1980.929209,1.54322445642436,1980.333327,99.9699190664011,147558.4488,21425.691567,14.5201387932996,3,20899.476057,97.5439975491364
COL,730742,124543.743725,17.0434631819438,32065.614464,25.7464674699379,1145032.899,169544.515728,14.8069558417116,3,132998.553373,78.4446213443845
SWE,154980,23604.810263,15.230875121306,1079.942171,4.57509363120272,449390.1761,66878.359381,14.8820252283659,3,10548.052253,15.7719961294336
BFA,0,0,,0,,276403.7182,41157.746935,14.8904461933537,3,4959.123073,12.049063523404
FIN,79468,8352.094136,10.5100092313887,3011.535293,36.057247966344,336145.5,50500.119281,15.0232917831713,3,27574.285491,54.6024165558248
GHA,226759,220.877346,0.097406209235356,218.290035,98.8286209306408,240329.9832,36153.445172,15.0432520697651,3,2627.975725,7.26894964642348
PHL,1835028,21269.583404,1.15908767626434,1523.500189,7.16281160783567,298774.9046,45762.334274,15.3166593209248,3,5807.692147,12.6909875537089
SSD,0,0,,0,,633580.4791,98214.485958,15.5015012611363,3,59270.901546,60.348431260279
CHN,878364,47495.657161,5.40728640529439,832.712621,1.75323949761824,9361608.881,1461511.27499,15.6117532100303,3,200412.804682,13.7127101317348
CUW,30535,11.656382,0.038173839855903,,,450.975385,71.009581,15.7457775661082,3,,
ASM,406816,35457.576441,8.71587559019311,,,210.578755,33.370565,15.8470710874893,3,,
TON,668055,10055.159911,1.50513953357134,8.097808,0.080533855967236,766.502265,121.971898,15.9127902903196,3,42.045119,34.4711525272813
JAM,246488,1859.991752,0.754597283437733,1857.765027,99.8802830712767,11058.94539,1760.19854,15.9165135365588,3,1382.157305,78.522807148789
UGA,0,0,,0,,243144.8535,39058.67107,16.0639513885495,3,16000.006967,40.964033154956
CUB,365756,15818.818526,4.32496487439714,,,111643.2783,18480.57139,16.5532324663025,3,,
GNB,106507,10660.695471,10.0093848019379,2108.862653,19.7816611377436,34015.72123,5667.921783,16.6626535556189,3,2195.713469,38.7393043352447
LAO,0,0,,,,231276.1399,38581.961203,16.6822056177876,3,,
LTU,6126,1567.706146,25.5910242572641,197.267,12.5831617426089,64696.51583,11013.353203,17.0231009532867,4,862.575853,7.83209107254489
NOR,926318,7696.952021,0.830918973937676,100.448365,1.30504080999779,325287.8156,55645.3254,17.1064893092786,4,1144.665339,2.05707367289472
NER,0,0,,0,,1190098.655,206090.485078,17.3170925126371,4,185159.78791,89.8439284278077
KWT,11896,175.974703,1.47927625252186,0.803143,0.45639684926759,17417.87587,3048.243171,17.5006596312367,4,325.01945,10.6625171210791
ETH,0,0,,0,,1135429.227,200073.975296,17.6209992255202,4,34834.273464,17.4106969247071
MNG,0,0,,0,,1565864.159,277375.262957,17.7138777564293,4,191400.500842,69.0041710286443
ALB,11199,304.392496,2.71803282435932,42.889141,14.090078291549,28746.5563,5098.51667,17.7360954710252,4,45.148125,0.885514904082877
JEY,2962,185.03376,6.24691964888589,,,125.218467,22.230736,17.7535602635991,4,,
ARE,54711,6166.544608,11.2711239202354,2157.773724,34.9916178535491,70921.45739,12733.921783,17.9549634928899,4,8709.828566,68.3986340926624
CAF,0,0,,0,,624568.0306,112827.102194,18.0648218714639,4,38632.060184,34.2400535268329
DNK,100470,17932.834722,17.8489446819946,4100.045974,22.8633455756443,45314.39778,8202.821878,18.1020211673659,4,2991.245127,36.4660499946065
ISL,752784,2863.118862,0.380337369285213,31.664754,1.105953176456,102301.7663,18569.338148,18.1515322947068,4,660.869357,3.55892790433771
LVA,28880,4631.28019,16.0362887465374,88.098228,1.90224353495658,64501.94768,11720.856133,18.171321261721,4,689.650057,5.88395633539341
CHL,3657313,1061244.718119,29.0170602876757,1282.760611,0.120873215112309,759820.962,140524.740856,18.4944543364678,4,43637.924926,31.053553032855
ATG,108492,196.94439,0.181528951443424,,,455.237976,84.536219,18.5696764015136,4,,
LCA,15560,34.00704,0.218554241645244,3.375011,9.92444799665011,622.311137,116.653527,18.7452096008367,4,16.034291,13.7452260659037
THA,306891,5773.7986,1.88138413964567,0,0,517786.6125,97391.375009,18.8091720909451,4,39157.93662,40.2067807507404
ABW,25214,0.026514,0.000105155865789,,,189.420844,35.833833,18.9175764627044,4,,
MYS,451742,6977.668843,1.54461370494663,488.888146,7.00646816293744,331700.5726,63418.88193,19.1193163861304,4,159.639473,0.251722307523815
AUS,7432133,3014429.453505,40.5594121298018,379168.487853,12.5784495441459,7722102.022,1487679.447978,19.2652135874358,4,303142.445569,20.3768658618643
GNQ,310365,729.714645,0.235114992025518,6.850682,0.938816569866157,27136.01782,5228.231142,19.2667589499689,4,3123.690636,59.7466055183832
TWN,342997,3846.485449,1.12143413761636,,,36245.33119,7145.881111,19.7153147078196,4,,
ISR,27855,9.06734,0.032551929635613,,,20958.0329,4180.414799,19.9465990865965,4,,
NIU,318244,36.900175,0.011594931876171,,,267.755527,53.434437,19.9564272673258,4,,
GTM,118336,1065.170498,0.900123798336939,1026.826695,96.4002192069724,109922.2585,22038.643985,20.0493005563564,4,11453.594978,51.970506832433
EST,36346,6767.848121,18.6206133302152,1158.202759,17.1133089616211,45416.48284,9182.51974,20.2184739235523,4,3256.848705,35.467919451486
TCD,0,0,,0,,1276585.969,259841.870863,20.3544357507348,4,148803.043459,57.2667688101182
BLM,4318,4243.877143,98.283398402038,,,25.109707,5.112056,20.3588835186329,4,,
PAN,332643,5593.08336,1.681407202316,4734.788461,84.6543517456175,75497.94621,15772.982461,20.891935811243,4,14867.982302,94.2623396606337
PER,838330,4034.233178,0.481222570825331,4030.949761,99.9186111249616,1298537.038,276772.559726,21.3141829325318,4,183216.27612,66.1974136097093
ITA,538881,47347.742616,8.78630766644213,323.400215,0.683031961254928,301335.3097,64904.791841,21.5390595631216,4,4313.251669,6.64550574257499
MOZ,574410,12821.005037,2.2320302635748,1475.904093,11.5116099614711,791081.8731,170662.332,21.5732830953676,4,37856.479009,22.1820940598655
ECU,1079901,144122.685454,13.3459164732693,139291.100464,96.6475888408684,258138.6687,55980.137759,21.6860720793668,4,48203.619272,86.1084327436301
DMA,28749,9.893412,0.034413064802254,0,0,766.22784,168.469169,21.9868243106385,4,67.392446,40.0028363646763
CZE,0,0,,0,,77916.89786,17263.015439,22.1556759998556,4,7498.753013,43.4382570038087
TJK,0,0,,0,,142244.2178,31690.107201,22.2786610880432,4,26003.312634,82.054984759343
KIR,3459130,410221.078312,11.8590824372602,408247.376919,99.5188688496648,1032.564654,230.885726,22.3604134719878,4,84.15276,36.4477966905585
VCT,36511,80.358739,0.220094598888006,50.38539,62.7005732382137,409.906569,91.899504,22.4196221651671,4,49.16401,53.497579268763
GAB,193292,55710.987281,28.8221898893901,1408.687577,2.52856329738825,266044.6066,59707.742051,22.4427560528491,4,28707.11162,48.0793790451488
GUM,202535,18.364688,0.009067414520947,,,561.240901,126.105991,22.4691377223771,4,,
HUN,0,0,,0,,93142.45067,21047.919456,22.5975581537702,4,761.419934,3.61755438864979
MWI,0,0,,0,,118859.7323,27190.409306,22.8760479094567,4,14516.396184,53.3879281500802
CIV,174842,130.372642,0.074565974994567,3.723091,2.85573026893173,324107.7064,74170.957949,22.8846634882113,4,17647.958551,23.7936235947428
PRT,1724156,285595.716159,16.5643779425412,1009.099827,0.353331569734821,92141.09473,21101.398028,22.9011800758751,4,10817.029681,51.2621470228968
ARM,0,0,,0,,29685.40559,6860.446471,23.1105027357654,4,3445.371044,50.2207991646612
NPL,0,0,,0,,147709.5419,34897.918383,23.6260419835477,4,25086.471328,71.885294282253
HND,219971,9144.341599,4.15706688563493,505.211829,5.52485735064019,113291.4823,27060.29625,23.885552294517,4,17848.429278,65.9579965906693
ROU,29726,6865.604972,23.0962960775079,693.909197,10.1070364495186,237452.8706,58085.407459,24.4618678697077,4,11756.172884,20.2394601299787
BEL,3465,1270.101988,36.65518002886,,,30683.07213,7634.045914,24.880317986594,4,,
SEN,158426,1766.034803,1.11473798682035,1635.02852,92.5818968698999,197923.9723,50179.217981,25.3527742990837,4,11320.729258,22.5605932365995
FRA,343866,154848.153441,45.0315394487969,113.230769,0.073123745090795,548954.0701,141586.047119,25.7919660005814,4,4994.572409,3.52758800081633
COK,1972842,1981970.243806,100.462695127435,,,258.141911,67.100583,25.993680274568,4,,
KHM,47967,89.107048,0.185767398419747,83.487803,93.6938265534282,182510.8526,47503.406608,26.0277161227836,4,38597.070174,81.2511626639844
DOM,270774,48605.808202,17.9506925339951,1471.48947,3.0273943062209,48509.80547,12727.397371,26.2367520291769,4,7154.422034,56.2127654653237
AND,0,0,,0,,471.870724,126.120308,26.7277246892732,4,26.105939,20.6992350510276
ZWE,0,0,,0,,392573.2003,106837.168022,27.2145851882798,4,24348.590298,22.7903741261525
CRI,576110,4801.603618,0.833452572946139,3891.343227,81.0425752848972,51636.14199,14252.970733,27.6027026491644,4,9900.766798,69.4645837942871
TGO,15521,30.987413,0.19964830230011,0,0,57480.648,15876.869292,27.6212427041532,4,3778.479291,23.7986420465393
PLW,608152,504705.162514,82.9899700262434,115.391022,0.022863055615525,501.101386,140.309345,28.0001909633513,4,11.742839,8.36924938962547
ESP,1005717,84225.119228,8.37463413942491,656.657064,0.779645158141491,507013.405,142296.524742,28.0656336378325,4,13573.600302,9.53895418500944
BES,25112,2755.525869,10.9729446838165,,,322.852496,91.577774,28.365205514781,4,,
AUT,0,0,,0,,83912.25912,23829.387898,28.397981591608,4,584.605885,2.45329795084273
GBR,723405,208898.024084,28.877050073472,128428.904063,61.4792335284883,245247.5873,70356.309875,28.6878703475017,4,27457.600862,39.0264937299627
BWA,0,0,,0,,581162.9215,169362.450304,29.1419916925997,4,111968.285596,66.1116353684188
STP,131709,35.280222,0.026786492950368,,,989.259888,289.416981,29.2559098484341,4,,
JPN,4040612,332690.380026,8.23366311900277,,,374092.7945,109936.664952,29.387538751966,4,,
BRA,3672584,977793.567739,26.6241307956197,18353.713564,1.87705402955761,8529399.243,2509320.541143,29.4196633274304,4,954453.467537,38.0363310261767
BEN,30426,0,0,0,,116095.3632,34369.002636,29.6041131089721,4,11330.993428,32.9686419708068
LKA,534085,398.564405,0.074625650411451,0,0,66631.50337,19897.498802,29.8619988978946,4,633.838902,3.18552049334105
MLT,55697,3495.866115,6.27657883728029,0.112344,0.003213624215125,324.970466,98.421774,30.2863750086139,4,1.381463,1.40361522034748
TTO,75798,37.072084,0.048909053009314,,,5213.102096,1594.834874,30.5928187215768,4,,
MAR,276136,717.91115,0.25998462714025,122.555157,17.0710758566711,407280.495,125351.166151,30.7776011102619,4,481.694005,0.384275647200397
BOL,0,0,,0,,1089908.94,336407.225171,30.865626734927,4,155395.237025,46.1925979580286
GIB,427,54.748672,12.8217030444965,,,7.483277,2.426334,32.423415570478,4,,
NZL,4106954,1246092.295605,30.3410336615652,14582.275843,1.1702404303784,269651.6705,88464.441294,32.8069324139418,4,26072.658551,29.4724729728987
MCO,284,283.523458,99.8322035211268,,,1.595194,0.528888,33.1550896003872,4,,
GRC,494172,22325.733215,4.51780619197364,408.342947,1.82902367894303,133012.2689,46842.054009,35.2163408656808,4,1857.398302,3.96523666883422
GIN,110136,583.249661,0.529572220708942,450.561029,77.2501141668045,246426.8074,87841.779009,35.646194476892,4,14861.027759,16.9179494389309
SHN,1647745,453612.579155,27.5292948335452,,,434.343214,157.137807,36.1782576393608,4,,
BHS,597705,47372.924256,7.92580357467313,3460.290418,7.30436314064302,13458.00624,4931.931532,36.6468215577228,4,4215.672448,85.4771081197564
NIC,223935,6660.345312,2.97423150110523,15.247216,0.228925307709331,129222.3127,48104.127449,37.2258679200995,4,6264.978855,13.023786496579
CYP,98280,120.958979,0.123075884208384,0.045084,0.037272140003761,9063.433945,3385.433921,37.352662815705,4,1157.139205,34.1799376978594
SVK,0,0,,0,,48941.21743,18416.782412,37.6304133389025,4,10893.157286,59.1479936196794
BLZ,36250,3653.672773,10.0790973048276,2442.620226,66.8538311380957,22297.76618,8401.615656,37.6791809016987,4,7982.92528,95.0165492788165
DEU,56358,25562.986492,45.3582215337663,8265.143659,32.3324649942079,357584.3854,134994.981945,37.7519230304176,4,2011.829926,1.49029978523177
ZMB,0,0,,0,,755640.3907,286161.092994,37.8700101947846,4,105470.463358,36.8570242217419
NAM,562728,9646.275207,1.71419854832175,243.836272,2.52777643979155,827465.4339,313534.356939,37.8909310400138,4,129581.955807,41.3294278407297
TZA,243130,7329.184086,3.01451243614527,4069.645366,55.5265813799618,947252.6908,361593.898971,38.172908082807,4,118704.109946,32.8280179183886
HRV,55462,4737.057113,8.54108599221088,383.491263,8.09555920167349,56855.88522,21749.440091,38.2536302211143,4,4710.295612,21.6570890666245
POL,31946,7210.840208,22.571965842359,7154.635384,99.2205509707781,311923.5191,123678.110482,39.6501395081882,4,48371.642734,39.1109166735208
BGR,35172,2851.930336,8.10852478107586,8.252788,0.289375511590336,110862.7479,44996.297288,40.5873912926887,4,4708.788268,10.4648350015586
COG,39864,1280.316561,3.21171122065021,1197.460769,93.5284917399424,343736.7395,140031.606518,40.738038861278,4,33631.097471,24.0167904284359
LUX,0,0,,0,,2603.081524,1063.95078,40.8727414101534,4,487.74825,45.8431216150807
GRL,2264467,102331.069374,4.51899141714143,402.139927,0.392979306734553,2154016.464,886455.3702,41.1536023524099,4,5749.926976,0.648642579118531
HKG,0,77.634648,,,,1102.47934,461.758923,41.8836803780831,4,,
SYC,1340839,484.080127,0.036102777962157,427.770032,88.3676086128609,486.864575,204.940998,42.0940459675054,4,170.901515,83.3905937161485
TCA,154242,149.803895,0.097122635209606,,,1018.174578,451.737847,44.3674254652231,4,,
NFK,432638,189084.312848,43.7049710954655,1.490433,0.000788237256466,42.778966,19.957518,46.6526423289427,4,0.437185,2.19057800674413
BRN,25698,51.679219,0.201102105222196,,,5961.686662,2794.368784,46.8721176141545,4,,
BTN,0,0,,0,,39933.48814,19171.209018,48.0078498296693,4,15508.712798,80.8958516045532
GUF,136564,1365.520322,0.999912364898509,0,0,83034.50925,43937.554785,52.9148123856708,4,20378.743183,46.3811499814213
SVN,186,396.998031,213.439801612903,0.405681,0.102187156691465,20308.54692,10890.044083,53.6229604505845,4,2453.815241,22.532647455767
VEN,473325,16499.966563,3.48596980151059,7759.711629,47.0286506301207,917367.6523,496700.995803,54.1441585124224,4,146352.880584,29.464986344027
NCL,1371803,1321625.937358,96.3422544897482,15558.31028,1.17720981710618,19141.03171,10413.517063,54.4041576273006,4,193.965358,1.86263062543176
CXR,330036,0.753498,0.000228307820965,,,142.416955,87.649012,61.5439446799014,4,,
REU,316499,40.854527,0.012908264165132,0.88487,2.16590440515931,2536.304619,1600.403333,63.0998075314391,4,1064.426636,66.5098987268855
SJM,1081582,82726.385837,7.64864668947893,,,61261.11552,40091.874504,65.444244956511,4,,
GLP,91039,90957.833257,99.9108439866431,,,1678.541217,1170.304383,69.7215159894403,4,,
MTQ,47644,47916.489295,100.571927829317,,,1149.925062,925.945181,80.5222193687609,4,,
PCN,839479,839569.393036,100.010767754286,4.251021,0.00050633348896,45.589943,37.035971,81.237151360334,4,37.035971,100
BVT,440224,13.870359,0.003150750299847,,,50.639751,43.986608,86.8618173102786,4,,
ATF,2277433,1702574.976806,74.7585099893608,,,7855.439158,7851.080046,99.9445083602288,4,,
