id,ecoregion,biome,realm,source,ecoregion_area,perc_protected_2021,perc_protected_2021_OECM
60205,Balsas dry forests,Tropical & Subtropical Dry Broadleaf Forests,Neotropics,wwfterr," 	62,582 ",10.90,10.90
80405,Baltic mixed forests,Temperate Broadleaf & Mixed Forests,Palearctic,wwfterr," 	116,852 ",33.27,33.27
81307,Baluchistan xeric woodlands,Deserts & Xeric Shrublands,Palearctic,wwfterr," 	289,391 ",3.32,3.32
10102,Banda Sea Islands moist deciduous forests,Tropical & Subtropical Moist Broadleaf Forests,Australasia,wwfterr," 	7,545 ",14.71,14.71
60302,Belizian pine forests,Tropical & Subtropical Coniferous Forests,Neotropics,wwfterr," 	2,838 ",31.67,31.67
60702,Beni savanna,"Tropical & Subtropical Grasslands, Savannas & Shrublands",Neotropics,wwfterr," 	126,340 ",38.27,38.27
81102,Bering tundra,Tundra,Palearctic,wwfterr," 	475,340 ",6.87,6.87
51106,Beringia lowland tundra,Tundra,Nearctic,wwfterr," 	151,293 ",46.05,46.05
51107,Beringia upland tundra,Tundra,Nearctic,wwfterr," 	97,578 ",41.01,41.01
50301,Bermuda subtropical conifer forests,Tropical & Subtropical Coniferous Forests,Nearctic,wwfterr, 	39 ,0.76,0.76
10103,Biak-Numfoor rain forests,Tropical & Subtropical Moist Broadleaf Forests,Australasia,wwfterr," 	2,829 ",21.68,21.68
50505,Blue Mountains forests,Temperate Conifer Forests,Nearctic,wwfterr," 	64,849 ",9.52,9.52
80902,Bohai Sea saline meadow,Flooded Grasslands & Savannas,Palearctic,wwfterr," 	11,584 ",16.22,16.22
60206,Bolivian montane dry forests,Tropical & Subtropical Dry Broadleaf Forests,Neotropics,wwfterr," 	73,167 ",14.42,14.42
60105,Bolivian Yungas,Tropical & Subtropical Moist Broadleaf Forests,Neotropics,wwfterr," 	90,748 ",49.37,49.37
40102,Borneo lowland rain forests,Tropical & Subtropical Moist Broadleaf Forests,IndoMalay,wwfterr," 	428,438 ",6.30,6.30
40103,Borneo montane rain forests,Tropical & Subtropical Moist Broadleaf Forests,IndoMalay,wwfterr," 	115,851 ",23.11,23.11
40104,Borneo peat swamp forests,Tropical & Subtropical Moist Broadleaf Forests,IndoMalay,wwfterr," 	67,622 ",9.33,9.33
40105,Brahmaputra Valley semi-evergreen forests,Tropical & Subtropical Moist Broadleaf Forests,IndoMalay,wwfterr," 	56,840 ",4.97,4.97
10702,Brigalow tropical savanna,"Tropical & Subtropical Grasslands, Savannas & Shrublands",Australasia,wwfterr," 	343,070 ",4.05,4.05
50506,British Columbia mainland coastal forests,Temperate Conifer Forests,Nearctic,wwfterr," 	137,530 ",16.92,18.54
51108,Brooks-British Range tundra,Tundra,Nearctic,wwfterr," 	159,868 ",60.30,61.34
10104,Buru rain forests,Tropical & Subtropical Moist Broadleaf Forests,Australasia,wwfterr," 	8,643 ",0.80,0.80
61304,Caatinga,Deserts & Xeric Shrublands,Neotropics,wwfterr," 	736,002 ",7.64,7.64
60106,Caatinga Enclaves moist forests,Tropical & Subtropical Moist Broadleaf Forests,Neotropics,wwfterr," 	4,808 ",27.72,27.72
80503,Caledon conifer forests,Temperate Conifer Forests,Palearctic,wwfterr," 	22,051 ",46.02,46.02
50801,California Central Valley grasslands,"Temperate Grasslands, Savannas & Shrublands",Nearctic,wwfterr," 	55,192 ",5.96,5.96
51201,California coastal sage and chaparral,"Mediterranean Forests, Woodlands & Scrub",Nearctic,wwfterr," 	36,349 ",9.54,9.54
51202,California interior chaparral and woodlands,"Mediterranean Forests, Woodlands & Scrub",Nearctic,wwfterr," 	64,732 ",8.29,8.29
51203,California montane chaparral and woodlands,"Mediterranean Forests, Woodlands & Scrub",Nearctic,wwfterr," 	20,454 ",24.20,24.20
30103,Cameroonian Highlands forests,Tropical & Subtropical Moist Broadleaf Forests,Afrotropics,wwfterr," 	38,128 ",6.92,6.92
60703,Campos Rupestres montane savanna,"Tropical & Subtropical Grasslands, Savannas & Shrublands",Neotropics,wwfterr," 	26,451 ",26.46,26.46
50802,Canadian Aspen forests and parklands,"Temperate Grasslands, Savannas & Shrublands",Nearctic,wwfterr," 	398,311 ",2.00,2.05
81203,Canary Islands dry woodlands and forests,"Mediterranean Forests, Woodlands & Scrub",Palearctic,wwfterr," 	4,985 ",51.59,51.59
80406,Cantabrian mixed forests,Temperate Broadleaf & Mixed Forests,Palearctic,wwfterr," 	79,891 ",23.96,23.96
10801,Cantebury-Otago tussock grasslands,"Temperate Grasslands, Savannas & Shrublands",Australasia,wwfterr," 	53,600 ",9.18,9.18
30201,Cape Verde Islands dry forests,Tropical & Subtropical Dry Broadleaf Forests,Afrotropics,wwfterr," 	4,574 ",2.69,2.69
10703,Cape York Peninsula tropical savanna,"Tropical & Subtropical Grasslands, Savannas & Shrublands",Australasia,wwfterr," 	116,586 ",34.29,34.29
60107,Caqueta moist forests,Tropical & Subtropical Moist Broadleaf Forests,Neotropics,wwfterr," 	184,593 ",41.04,41.04
40106,Cardamom Mountains rain forests,Tropical & Subtropical Moist Broadleaf Forests,IndoMalay,wwfterr," 	44,345 ",54.06,54.06
61305,Caribbean shrublands,Deserts & Xeric Shrublands,Neotropics,wwfterr," 	3,136 ",29.38,29.38
11301,Carnarvon xeric shrublands,Deserts & Xeric Shrublands,Australasia,wwfterr," 	90,685 ",10.58,10.58
70101,Carolines tropical moist forests,Tropical & Subtropical Moist Broadleaf Forests,Oceania,wwfterr, 	582 ,0.03,0.03
80504,Carpathian montane forests,Temperate Conifer Forests,Palearctic,wwfterr," 	125,251 ",39.17,39.17
10704,Carpentaria tropical savanna,"Tropical & Subtropical Grasslands, Savannas & Shrublands",Australasia,wwfterr," 	360,444 ",14.07,14.07
50507,Cascade Mountains leeward forests,Temperate Conifer Forests,Nearctic,wwfterr," 	46,399 ",17.59,18.12
80407,Caspian Hyrcanian mixed forests,Temperate Broadleaf & Mixed Forests,Palearctic,wwfterr," 	55,229 ",12.40,12.40
81308,Caspian lowland desert,Deserts & Xeric Shrublands,Palearctic,wwfterr," 	267,902 ",7.03,7.03
60108,Catatumbo moist forests,Tropical & Subtropical Moist Broadleaf Forests,Neotropics,wwfterr," 	22,898 ",73.20,73.20
60207,Cauca Valley dry forests,Tropical & Subtropical Dry Broadleaf Forests,Neotropics,wwfterr," 	7,361 ",1.81,1.81
60109,Cauca Valley montane forests,Tropical & Subtropical Moist Broadleaf Forests,Neotropics,wwfterr," 	32,127 ",14.28,14.28
80408,Caucasus mixed forests,Temperate Broadleaf & Mixed Forests,Palearctic,wwfterr," 	170,663 ",18.55,18.55
60110,Cayos Miskitos-San Andr├⌐s and Providencia moist forests,Tropical & Subtropical Moist Broadleaf Forests,Neotropics,wwfterr, 	95 ,54.17,54.17
80409,Celtic broadleaf forests,Temperate Broadleaf & Mixed Forests,Palearctic,wwfterr," 	209,614 ",20.88,20.88
81309,Central Afghan Mountains xeric woodlands,Deserts & Xeric Shrublands,Palearctic,wwfterr," 	139,709 ",0.00,0.00
31401,Central African mangroves,Mangroves,Afrotropics,wwfterr," 	30,996 ",20.07,20.07
60111,Central American Atlantic moist forests,Tropical & Subtropical Moist Broadleaf Forests,Neotropics,wwfterr," 	89,978 ",30.21,30.21
60209,Central American dry forests,Tropical & Subtropical Dry Broadleaf Forests,Neotropics,wwfterr," 	68,181 ",6.81,6.81
60112,Central American montane forests,Tropical & Subtropical Moist Broadleaf Forests,Neotropics,wwfterr," 	13,329 ",31.08,31.08
60303,Central American pine-oak forests,Tropical & Subtropical Coniferous Forests,Neotropics,wwfterr," 	111,592 ",11.67,11.67
80803,Central Anatolian steppe,"Temperate Grasslands, Savannas & Shrublands",Palearctic,wwfterr," 	24,971 ",0.01,0.01
80410,Central Anatolian steppe and woodlands,Temperate Broadleaf & Mixed Forests,Palearctic,wwfterr," 	101,641 ",0.38,0.38
50508,Central and Southern Cascades forests,Temperate Conifer Forests,Nearctic,wwfterr," 	44,952 ",20.84,20.84
50803,Central and Southern mixed grasslands,"Temperate Grasslands, Savannas & Shrublands",Nearctic,wwfterr," 	282,774 ",0.56,0.56
61001,Central Andean dry puna,Montane Grasslands & Shrublands,Neotropics,wwfterr," 	256,198 ",15.33,15.33
61002,Central Andean puna,Montane Grasslands & Shrublands,Neotropics,wwfterr," 	212,540 ",18.67,18.67
61003,Central Andean wet puna,Montane Grasslands & Shrublands,Neotropics,wwfterr," 	117,574 ",18.77,18.77
81310,Central Asian northern desert,Deserts & Xeric Shrublands,Palearctic,wwfterr," 	663,900 ",16.10,16.10
81311,Central Asian riparian woodlands,Deserts & Xeric Shrublands,Palearctic,wwfterr," 	88,833 ",19.25,19.25
81312,Central Asian southern desert,Deserts & Xeric Shrublands,Palearctic,wwfterr," 	567,973 ",7.33,7.33
50509,Central British Columbia Mountain forests,Temperate Conifer Forests,Nearctic,wwfterr," 	71,914 ",8.28,9.14
50602,Central Canadian Shield forests,Boreal Forests/Taiga,Nearctic,wwfterr," 	462,758 ",9.44,9.44
80411,Central China loess plateau mixed forests,Temperate Broadleaf & Mixed Forests,Palearctic,wwfterr," 	360,435 ",6.21,6.21
30104,Central Congolian lowland forests,Tropical & Subtropical Moist Broadleaf Forests,Afrotropics,wwfterr," 	415,657 ",21.73,21.73
40201,Central Deccan Plateau dry deciduous forests,Tropical & Subtropical Dry Broadleaf Forests,IndoMalay,wwfterr," 	240,685 ",4.06,4.06
80412,Central European mixed forests,Temperate Broadleaf & Mixed Forests,Palearctic,wwfterr," 	732,907 ",19.91,19.91
50804,Central forest-grasslands transition,"Temperate Grasslands, Savannas & Shrublands",Nearctic,wwfterr," 	407,906 ",1.53,1.53
40202,Central Indochina dry forests,Tropical & Subtropical Dry Broadleaf Forests,IndoMalay,wwfterr," 	320,779 ",13.11,13.11
80413,Central Korean deciduous forests,Temperate Broadleaf & Mixed Forests,Palearctic,wwfterr," 	104,793 ",11.24,11.24
