SitRecID, site_area ,terr,fresh,marine, pa_area ,oecm_area,paoecm_area,pa_perc,paoecm_perc,pa_category,paoecm_category
560,25.881,Y,N,Y,20.9277,0,20.9277,80.86,80.86124957,partial,partial
561,1.483,Y,N,Y,1.4825,0,1.4825,99.96,99.96628456,complete,complete
562,17.243,Y,N,Y,17.081,0,17.081,99.06,99.06048831,complete,complete
565,34.724,Y,N,Y,32.1879,0,32.1879,92.7,92.69640594,partial,partial
567,1.678,Y,N,Y,1.6621,0,1.6621,99.03,99.05244338,complete,complete
568,1.364,Y,N,Y,1.3604,0,1.3604,99.72,99.73607038,complete,complete
570,194.317,Y,N,Y,161.6959,0,161.6959,83.21,83.21243123,partial,partial
571,3.368,Y,N,Y,3.3676,0,3.3676,100,99.98812352,complete,complete
572,13.296,Y,N,Y,13.2959,0,13.2959,100,99.99924789,complete,complete
573,5.297,Y,N,Y,5.2966,0,5.2966,100,99.99244856,complete,complete
574,11.416,Y,N,Y,8.1512,0,8.1512,71.4,71.4015417,partial,partial
576,28.155,Y,N,Y,27.9423,0,27.9423,99.25,99.24453916,complete,complete
578,573.601,Y,N,Y,236.8396,0,236.8396,41.29,41.28995591,partial,partial
579,492.106,Y,N,Y,491.9812,0,491.9812,99.97,99.97463961,complete,complete
580,178.386,Y,N,Y,177.7698,0,177.7698,99.65,99.6545693,complete,complete
581,128.011,Y,N,Y,127.2024,0,127.2024,99.37,99.36833553,complete,complete
582,2.461,Y,N,Y,2.4448,0,2.4448,99.33,99.341731,complete,complete
583,21.507,Y,N,Y,18.632,0,18.632,86.63,86.63225926,partial,partial
584,5.388,Y,N,Y,5.3854,0,5.3854,99.96,99.95174462,complete,complete
588,184.877,Y,N,Y,182.2679,0,182.2679,98.59,98.58873738,complete,complete
589,3.676,Y,N,Y,3.6763,0,3.6763,100,100.008161,complete,complete
590,1.54,Y,N,Y,1.5399,0,1.5399,100,99.99350649,complete,complete
591,33.667,Y,N,Y,31.5731,0,31.5731,93.78,93.78055663,partial,partial
592,96.306,Y,N,Y,81.6785,0,81.6785,84.81,84.81143439,partial,partial
593,7.779,Y,N,Y,7.7786,0,7.7786,100,99.99485795,complete,complete
594,0.608,Y,N,Y,0.6081,0,0.6081,100,100.0164474,complete,complete
595,0.3,Y,N,Y,0.3004,0,0.3004,100,100.1333333,complete,complete
596,3.358,Y,N,Y,3.0088,0,3.0088,89.61,89.60095295,partial,partial
599,36.545,Y,N,Y,25.0605,0,25.0605,68.57,68.57436038,partial,partial
601,5.783,Y,N,Y,5.3661,0,5.3661,92.78,92.79093896,partial,partial
602,6.986,Y,N,Y,5.9427,0,5.9427,85.07,85.06584598,partial,partial
603,10.533,Y,Y,N,10.4686,0,10.4686,99.38,99.38858825,complete,complete
604,20.94,Y,N,Y,20.9062,0,20.9062,99.84,99.83858644,complete,complete
605,22.026,Y,N,Y,8.4105,0,8.4105,38.18,38.18441841,partial,partial
606,9.793,Y,N,Y,9.7926,0,9.7926,100,99.99591545,complete,complete
608,9.714,Y,N,Y,6.7092,0,6.7092,69.07,69.06732551,partial,partial
609,1.539,Y,N,Y,1.5393,0,1.5393,100,100.0194932,complete,complete
610,8.326,Y,N,Y,5.3529,0,5.3529,64.29,64.29137641,partial,partial
611,3.409,Y,N,Y,3.4085,0,3.4085,100,99.98533294,complete,complete
612,77.784,Y,N,Y,76.302,0,76.302,98.1,98.09472385,complete,complete
613,26.546,Y,N,Y,9.2581,0,9.2581,34.88,34.87568749,partial,partial
614,2.171,Y,N,Y,2.1639,0,2.1639,99.68,99.67296177,complete,complete
615,40.701,Y,N,Y,38.2776,0,38.2776,94.05,94.04584654,partial,partial
616,2.825,Y,N,Y,2.8223,0,2.8223,99.91,99.90442478,complete,complete
617,9.38,Y,N,Y,8.5676,0,8.5676,91.34,91.33901919,partial,partial
618,6.119,Y,N,Y,6.1028,0,6.1028,99.73,99.73525086,complete,complete
619,13.925,Y,N,Y,13.9245,0,13.9245,100,99.99640934,complete,complete
620,5.56,Y,N,Y,4.3647,0,4.3647,78.51,78.50179856,partial,partial
621,117.802,Y,Y,N,116.6012,0,116.6012,98.98,98.98066247,complete,complete
622,58.059,Y,Y,N,57.5274,0,57.5274,99.08,99.08437968,complete,complete
623,11.557,Y,Y,N,11.5186,0,11.5186,99.66,99.66773384,complete,complete
624,32.585,Y,Y,N,32.1547,0,32.1547,98.68,98.67945374,complete,complete
627,10.213,Y,Y,N,10.1312,0,10.1312,99.2,99.19906002,complete,complete
628,11.204,Y,Y,N,11.2004,0,11.2004,99.97,99.96786862,complete,complete
629,18.275,Y,Y,N,16.567,0,16.567,90.65,90.65389877,partial,partial
631,4.076,Y,N,Y,3.9659,0,3.9659,97.29,97.29882237,partial,partial
632,111.439,Y,N,Y,110.8342,0,110.8342,99.46,99.45728156,complete,complete
633,49.739,Y,N,Y,20.3212,0,20.3212,40.86,40.85566658,partial,partial
634,159.078,Y,N,N,150.5279,0,150.5279,94.63,94.6252153,partial,partial
635,1.777,Y,N,Y,1.777,0,1.777,100,100,complete,complete
636,6.255,Y,N,N,6.2512,0,6.2512,99.94,99.9392486,complete,complete
